source,target,IP,ad,val,id
61,75,106.74.156.36,pkgdl.biligame.net.w.kunlunea.com,35,106.74.156.36-pkgdl.biligame.net.w.kunlunea.com
61,76,106.74.156.36,pl.live.weibo.com.w.alikunlun.net,10,106.74.156.36-pl.live.weibo.com.w.alikunlun.net
61,77,106.74.156.36,policyres.game.yy.com.w.kunlunea.com,30,106.74.156.36-policyres.game.yy.com.w.kunlunea.com
61,78,106.74.156.36,mirrors.aliyun.com.w.alikunlun.com,27,106.74.156.36-mirrors.aliyun.com.w.alikunlun.com
61,79,106.74.156.36,wxt.sinaimg.cn.w.kunlunhuf.com,42,106.74.156.36-wxt.sinaimg.cn.w.kunlunhuf.com
61,80,106.74.156.36,wx1.sinaimg.cn.w.kunlunar.com,58,106.74.156.36-wx1.sinaimg.cn.w.kunlunar.com
61,81,106.74.156.36,www.res.flyme.cn.m.alikunlun.com,28,106.74.156.36-www.res.flyme.cn.m.alikunlun.com
61,82,106.74.156.36,www.gongheshengshi.com.m.alikunlun.com,22,106.74.156.36-www.gongheshengshi.com.m.alikunlun.com
61,83,106.74.156.36,ww1.sinaimg.cn.w.alikunlun.com,58,106.74.156.36-ww1.sinaimg.cn.w.alikunlun.com
61,84,106.74.156.36,wt.sinaimg.cn.w.alikunlun.com,47,106.74.156.36-wt.sinaimg.cn.w.alikunlun.com
61,85,106.74.156.36,w11.hoopchina.com.cn.m.alikunlun.com,19,106.74.156.36-w11.hoopchina.com.cn.m.alikunlun.com
61,86,106.74.156.36,w1.vodcdn.yicai.com.w.kunlunea.com,35,106.74.156.36-w1.vodcdn.yicai.com.w.kunlunea.com
61,87,106.74.156.36,video19.ifeng.com.w.kunlunea.com,57,106.74.156.36-video19.ifeng.com.w.kunlunea.com
61,88,106.74.156.36,video.ups.uc.cn.w.alikunlun.com,27,106.74.156.36-video.ups.uc.cn.w.alikunlun.com
61,89,106.74.156.36,video.pearvideo.com.w.kunlunar.com,39,106.74.156.36-video.pearvideo.com.w.kunlunar.com
61,90,106.74.156.36,v7.pstatp.com.w.alikunlun.net,60,106.74.156.36-v7.pstatp.com.w.alikunlun.net
61,91,106.74.156.36,v3.365yg.com.w.kunlungr.com,59,106.74.156.36-v3.365yg.com.w.kunlungr.com
61,92,106.74.156.36,v3-xg.ixigua.com.w.kunlunhuf.com,60,106.74.156.36-v3-xg.ixigua.com.w.kunlunhuf.com
61,93,106.74.156.36,v3-tt.ixigua.com.w.kunlungr.com,60,106.74.156.36-v3-tt.ixigua.com.w.kunlungr.com
61,94,106.74.156.36,v3-nh.ixigua.com.w.kunlunle.com,60,106.74.156.36-v3-nh.ixigua.com.w.kunlunle.com
61,95,106.74.156.36,v3-hs.ixigua.com.w.kunlungr.com,60,106.74.156.36-v3-hs.ixigua.com.w.kunlungr.com
61,96,106.74.156.36,v3-dy.ixigua.com.w.kunlunle.com,32,106.74.156.36-v3-dy.ixigua.com.w.kunlunle.com
61,97,106.74.156.36,v.hyhuo.com.w.kunlunea.com,2,106.74.156.36-v.hyhuo.com.w.kunlunea.com
61,98,106.74.156.36,uploads.rayli.com.cn.w.kunlunca.com,30,106.74.156.36-uploads.rayli.com.cn.w.kunlunca.com
